"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"167","Thailand","THA",29,29,33.3939393939394,0,-4.3939393939394,1.9672131147541,2.90933098591549,2.25879891705636
"168","Tajikistan","TJK",75.6666666666667,75.6666666666667,77.9393939393939,0,-2.27272727272727,10,5.99031690140846,10
"169","Turkmenistan","TKM",80.6666666666667,78,85.3939393939394,2.66666666666667,-4.72727272727272,10,2.42517605633804,10
"170","Timor-Leste","TLS",29.3333333333333,29.3333333333333,31.9090909090909,0,-2.57575757575757,2.0327868852459,5.55017605633803,1.95729756337682
"171","Tonga","TON",NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",37.3333333333333,39,41.4242424242424,-1.66666666666666,-4.09090909090909,3.60655737704918,3.34947183098591,3.88936746246616
"173","Tunisia","TUN",54,54,55.3636363636364,0,-1.36363636363637,6.88524590163934,7.31073943661972,6.71978833374354
"174","Turkey","TUR",48.6666666666667,48.6666666666667,48.1818181818182,0,0.484848484848477,5.83606557377049,9.99559859154929,5.26150627615063
"175","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,NA
"176","Tanzania","TZA",48.3333333333333,51.6666666666667,53.030303030303,-3.33333333333333,-4.6969696969697,5.77049180327869,2.46919014084507,6.24600049224711
"177","Uganda","UGA",54,60.6666666666667,59.4545454545455,-6.66666666666666,-5.45454545454546,6.88524590163934,1.36883802816901,7.55045532857495
"178","Ukraine","UKR",64.6666666666667,66.3333333333333,64.8484848484848,-1.66666666666666,-0.181818181818173,8.98360655737705,9.02728873239439,8.64570514398228
"179","Uruguay","URY",47,48.3333333333333,52.0909090909091,-1.33333333333334,-5.09090909090909,5.50819672131148,1.89700704225353,6.05525473787842
"180","United States of America","USA",27.3333333333333,32,35.5151515151515,-4.66666666666667,-8.18181818181819,1.63934426229508,0,2.68951513659858
"181","Uzbekistan","UZB",71.3333333333333,71.3333333333333,72.8484848484849,0,-1.51515151515153,10,7.09066901408449,10
"182","Saint Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,NA
"183","Venezuela","VEN",89.3333333333333,88,88.969696969697,1.33333333333333,0.363636363636346,10,9.81954225352111,10
"184","Viet Nam","VNM",32.3333333333333,36.3333333333333,35.6060606060606,-4,-3.27272727272727,2.62295081967213,4.53785211267607,2.70797440315038
"185","Vanuatu","VUT",NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,NA
"187","Yemen","YEM",90.6666666666667,90.6666666666667,90.0606060606061,0,0.606060606060609,10,10,10
"188","South Africa","ZAF",42,42,43.2727272727273,0,-1.27272727272727,4.52459016393443,7.44278169014085,4.26470588235294
"189","Zambia","ZMB",65.6666666666667,65.6666666666667,65.1515151515151,0,0.51515151515153,9.18032786885246,10,8.70723603248831
"190","Zimbabwe","ZWE",86.3333333333333,86.3333333333333,88.3939393939394,0,-2.06060606060606,10,6.29841549295775,10
