Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
Qatar,-10,1.333333373,74.5192337,0.535666704,0,69,0,1.290333271,0.745599985,11.4876585,17.0819397,3,,,Not At Risk
Romania,9,2,46.63461685,0.561666667,1,30,0.092,-0.957444429,0.306899995,10.12045383,0.791951299,1,,,Not At Risk
Russian Federation,4,3.888888836,48.55769348,0.786333323,1,1,0.174399972,-0.306666672,0.245199993,10.0641489,10.08165836,6,,In Conflict,
Rwanda,-3,3.111111164,61.21794891,0.328000009,1,1,0.839999974,-0.314888895,0.323799998,7.580283642,6.018845081,4,,In Conflict,
Samoa,.,1,73.23718262,.,0,69,.,.,.,8.704629898,0.454598218,0,,,Not At Risk
San Marino,.,1,.,.,0,69,.,.,0.292699993,10.95104313,0,0,,,Not At Risk
São Tomé and Principe,.,1,22.59615326,0.27700001,0,69,.,-1.381777763,.,8.15956974,3.02490449,0,,,Not At Risk
Saudi Arabia,-10,3.77777791,62.82051468,0.467000008,1,40,0.170000002,1.521000028,0.180000007,10.5848484,22.5156765,6,At Risk,,
Senegal,7,2,39.10256577,0.319000006,1,8,0,-1.57099998,0.693899989,8.057984352,4.039521217,3,,,Not At Risk
Serbia,8,1.555555582,59.13461685,0.665333331,0,20,0.082999997,-0.75777775,0.573599994,9.60260582,1.257210851,0,,,Not At Risk
Seychelles,.,1.333333373,67.46794891,0.210999995,0,69,.,-0.497222215,0.202500001,10.25942612,0.110060111,0,,,Not At Risk
Sierra Leone,7,2.5,10.41666698,0.783999979,0,18,0.039999999,-1.090888858,0.819100022,7.244884968,18.90267754,5,At Risk,,
Singapore,-2,1.5,100,0.017000001,0,69,0,-0.501222253,0.385699987,11.28533268,0.000432784,0,,,Not At Risk
Sint Maarten (Dutch part),.,.,.,.,0,69,.,.,.,10.3850193,.,0,,,Not At Risk
Slovak Republic,10,1.166666627,75.64102936,0.294999987,1,69,0.033666667,-1.331666708,0.253899992,10.32653713,0.303929865,1,,,Not At Risk
Slovenia,10,1,84.2948761,0.23833333,0,69,0.0053,-1.763888836,0.221599996,10.42412949,0.23327896,0,,,Not At Risk
Solomon Islands,8,1,15.54487133,0.646000028,0,69,0,-0.384555578,0.111000001,7.661799431,21.28759384,1,,,Not At Risk
Somalia,5,4,0.480769217,0.906000018,1,1,0,0.155777782,0.811699986,.,15.24379444,7,,In Conflict,
South Africa,9,3.388888836,65.2243576,0.376666665,0.666666687,31,0.0002,-1.028555512,0.751699984,9.402950287,5.111929417,2,,,Not At Risk
South Sudan,0,5,0,0.891333342,1,1,0.306500018,1.341555595,.,7.425359726,42.38425827,7,,In Conflict,
Spain,10,2,82.21154022,0.063000001,0,28,0.301999986,-1.71044445,0.416500002,10.51763248,0.092222981,1,,,Not At Risk
Sri Lanka,6,2.833333254,49.19871902,0.478666663,0,10,0.24000001,-0.719777763,0.414999992,9.425866127,0.140562922,3,,,Not At Risk
St. Kitts and Nevis,.,1,67.62820435,.,0,69,.,.,0.184200004,10.11287594,0,0,,,Not At Risk
