"","Country","S_OCHA_Added.Social.Protection.coverage","S_OCHA_Added.SP.adequacy","S_OCHA_Added.Social.Protection.coverage.1","S_OCHA_Added.SP.adequacy.1","S_OCHA_SP.Index","S_OCHA_Population.density","S_OCHA_Population.living.in.urban.areas","S_OCHA_Population.living.in.slums....of.urban.population.","S_OCHA_household.size","S_OCHA_IDP..refugees.and.returnees...percentage.of.population.","S_OCHA_Displaced.population","S_OCHA_Density.Index","S_OCHA_Access.to.cities","S_OCHA_Internal.connectedness..Road.density.","S_OCHA_Movement","S_OCHA_Transmission","S_OCHA_Human.Development.Index","S_OCHA_Multidimensional.Poverty.Index","S_OCHA_Poverty","S_OCHA_Poverty.index","S_OCHA_food.insecurity.as.percenatge.of.population","S_OCHA_Food.insecurity.score","S_OCHA_Population.age.65.....","S_OCHA_Demography","S_OCHA_Probability.....of.dying.between.30.70.from.cardiovasular.disease..cancer..diabetes.or.chronic.respiratory.disease","S_OCHA_known.co.mortality.risk.factors","S_OCHA_Diabetes.prevalance","S_OCHA_Diabetes.prevalence","S_OCHA_Age.Standardized.Prevalence.of.CVD","S_OCHA_Incidence.of.Tuberculosis","S_OCHA_Comorbidities","S_OCHA_Risk.factors","S_OCHA_Covid.vulnerability.index"
"30","CMR",5.013449196,3.127612522,0.4,0,0.4,5.8,5.6,2.4,7.5,4.2,4.2,5.1,6.3,0.7,3.5,4.3,6.9,8.9,2.4,6.1,1.9,1,3,0.6,21.6,7.7,6,2.2,8,3.5,5.4,3.9,4.1
"31","CAN",NA,NA,NA,NA,NA,2,8.1,0,1.2,0.5,0.5,2.4,2.8,1.2,2,2.2,0,NA,0.1,0,0,0,17,8.3,9.8,0,7.6,3.1,3,0.1,1.6,0.8,1.5
"32","CAF",NA,NA,NA,NA,NA,2.9,4.1,10,NA,13.7,10,6.8,3.8,0.4,2.1,4.4,10,9.7,6.6,8.8,40,10,3,0.6,23.1,8.7,6,2.2,5,7.7,5.9,7.3,5.9
"33","TCD",2.974368954,24.51605159,0.1,4.4,0.1,3.6,2.3,9.7,9.4,3.5,3.5,5.7,6.3,0.1,3.2,4.5,9.9,10,3.8,7.9,6.3,3.1,2,0,23.9,9.3,6,2.2,7,2.8,5.3,4.4,4.4
"34","CHL",87.72247427,15.26222355,10,2.5,10,4.7,8.8,1,NA,0.1,0.1,3.7,4.7,1.9,3.3,3.5,1.1,NA,0,0.6,0,0,12,5.6,12.4,1.6,8.6,3.7,3,0.3,2.2,4.2,3.9
"35","CHN",63.05300071,36.82996305,7.5,7,7.5,7.2,5.9,2.8,NA,0,0,4,3,1,2,3,3,5,0.1,2.7,0,0,11,5,17,4.7,9.2,4,4,1.1,3.5,4.5,3.8
"36","COL",65.6766814,25.2968467,7.8,4.6,7.8,5.5,8.1,3.1,3.8,11.5,10,6.1,0.8,1,0.9,3.5,3.1,4.9,0.4,2.8,0.6,0.3,8,3.3,15.8,3.9,7.4,3,5,0.6,3.1,4.6,4
"37","COM",1.982875719,13.22422071,0,2.1,0,8.8,2.9,7.7,8.4,0,0,5.6,5.8,3.6,4.7,5.1,7.9,8.2,1.8,6,0,0,3,0.6,22.9,8.6,12.3,5.7,5,0.6,5,3.6,4.4
"38","COG",NA,NA,NA,NA,NA,4,6.7,5.3,5.8,3,3,5,3.1,0.1,1.6,3.3,5.9,8.5,0.3,4.9,0,0,3,0.6,16.7,4.5,6,2.2,5,6.8,4.6,4.8,4
"39","COD",NA,NA,NA,NA,NA,5.2,4.4,8.8,8.3,4.2,4.2,6.2,5.2,0.7,3,4.6,8.9,9.5,0.3,6.2,15.1,7.5,3,0.6,19.4,6.3,6,2.2,5,5.9,4.9,5.5,5.1
"40","CRI",66.63602779,28.58048682,7.9,5.3,7.9,6.6,7.9,0.4,3.7,0.7,0.7,3.9,4.3,4.4,4.4,4.1,2.1,NA,0.1,1.1,0,0,10,4.4,11.5,1,9.1,3.9,3,0.2,2,3.7,3.9
"41","CIV",32.8626698,47.54319015,3.8,9.2,3.8,6.3,5.1,6.6,7.7,1.2,1.2,5.4,6.4,0.9,3.7,4.5,8.2,8.8,2.8,6.6,0.2,0.1,3,0.6,29.1,10,2.4,0.2,8,2.7,5.2,5.2,4.9
"42","HRV",70.71853665,39.52180592,8.4,7.5,8.4,6.2,5.7,NA,2,0,0,3.5,5.7,10,7.9,5.7,1.4,NA,0.1,0.7,0,0,20,10,16.7,4.5,5.4,1.9,6,0.2,3.2,4.1,4.9
"43","CUB",NA,NA,NA,NA,NA,6.8,7.7,0.7,NA,0,0,3.8,6.3,6.3,6.3,5.1,2.5,NA,NA,2.5,0,0,15,7.2,16.4,4.3,9.6,4.2,3,0.1,2.9,2.7,3.9
"44","CYP",NA,NA,NA,NA,NA,7,6.7,NA,1.9,20.8,10,6.4,5.2,10,7.6,7,0.6,NA,0,0.3,0,0,14,6.7,11.3,0.9,9,3.9,3,0.1,2,1.1,4.1
"45","CZE",NA,NA,NA,NA,NA,7.1,7.4,NA,1,0,0,3.9,6.2,10,8.1,6,0.2,NA,0,0.1,0,0,19,9.4,15,3.3,7,2.8,6,0.1,3.1,1.6,3.8
