Country,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Economic Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS
ETH,4.8,5.7,0,0,5.2,7.4,4.4,9.9,9,9,7.3,9.3,4.7,1.6,6.2,8.5,3,4.3,0.3,5.5,3.5,6.7,6.5,2.9,6.3,4.6,7.5,9.8,7.3,8.2,6.8,6.9,Very High
FJI,3.5,0.1,8,3.1,2.4,3.4,3.9,0.1,0,0.1,2.2,3.1,3.9,2.7,3.2,0,4,2,10,1.8,6,3.6,3.4,0.1,4.6,2.4,2.4,3.3,4.4,3.4,2.9,2.8,Low
FIN,0.1,0.1,0,0,1.9,1.1,0.6,0,0,0,0.3,0,0.6,0.1,0.2,4.9,0.1,0.2,0,1.2,0.4,3,1.7,2.2,1.3,1.8,1.5,0.5,0.5,0.8,1.3,0.9,Very Low
FRA,3.3,6.4,5.7,0,1.7,1.3,3.4,1.1,0,0.8,2.2,0,1.3,0.2,0.4,7.2,0.3,0.3,0,0.6,0.3,4.6,2.8,2.9,2.7,2.8,2.1,0,0.9,1,1.9,2.3,Low
GAB,0.1,4.8,0,0,1,6.5,2.5,3.2,0,2.2,2.4,5.5,5.2,0.9,4.3,1.2,6.4,2.4,0,4.3,3.6,2.5,3.5,6.7,6.9,6.8,3,6.2,6.3,5.2,6.1,3.7,Medium
GMB,0.1,3.5,3.6,0,3.2,6.3,3.1,2.1,0,1.5,2.3,8.4,5.5,4.3,6.7,3,2.5,3.2,0.3,3.6,2.5,2.8,5.1,3,6.3,4.7,5.8,5.7,7.1,6.2,5.5,4,Medium
GEO,7.9,5.1,0,0,5.5,4.7,4.5,6.1,0,4.3,4.4,1.1,3.6,3.3,2.3,8.8,0.5,0.5,0.2,3,1.1,6.3,4.6,4.7,3.9,4.3,1.6,1.1,2.3,1.7,3.1,4,Medium
DEU,4.3,6.1,0,0,1.4,1.4,2.5,0.5,0,0.4,1.5,0,1.4,0.1,0.4,8.2,0.1,0.2,0,0.8,0.3,5.5,3.4,2.7,1.9,2.3,1.6,0,0.4,0.7,1.5,2,Low
GHA,0.1,4.9,5.2,0,1.4,7.2,3.7,6.3,0,4.4,4.1,7,5.9,1.2,5.3,3.2,4.5,3.2,0.1,1.5,2.5,2.9,4.2,3.4,5.6,4.5,3.9,7,5.9,5.6,5.1,4.4,Medium
GRC,9.6,3.1,8.7,0,2.1,4.6,5.9,1.1,0,0.8,3.8,0.2,1.8,0.1,0.6,7,0.1,0.3,0,1.2,0.4,4.5,2.8,2.3,4.6,3.5,1.8,0,0.8,0.9,2.3,2.9,Low
