"","NH_UKMO_Country","NH_UKMO_TOTAL.RISK.NEXT.12.MONTHS","NH_UKMO_TOTAL.RISK.NEXT.6.MONTHS","NH_UKMO_Temperature","NH_UKMO_Rainfall","NH_UKMO_Tropical.Cyclone","NH_UKMO_Temperature..1.Warmer..5.Near.normal.","NH_UKMO_Rainfall..2.Wetter..3.Drier..5.Near.normal.","NH_UKMO_Tropical.Cyclone..5.TC.forecast.","NH_UKMO_INFORM_RISK_Flood","NH_UKMO_INFORM_RISK_Tropical.Cyclone.1","NH_UKMO_INFORM_RISK_Drought","NH_UKMO_INFORM_RISK_Locust..based.on.FAO.forecasts.","NH_INFORM_RISK_UKMO_Vuln","NH_UKMO_INFORM_OCCURENCExRISK12m_Flood","NH_UKMO_INFORM_OCCURENCExRISK12m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK12m_Drought","NH_UKMO_INFORM_OCCURENCExRISK12m_Locust","NH_UKMO_X","NH_UKMO_INFORM_OCCURENCExRISK6m_Flood","NH_UKMO_INFORM_OCCURENCExRISK6m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK6m_Drought","NH_UKMO_INFORM_OCCURENCExRISK6m_Locust","NH_UKMO_INFORM_OCCURENCExRISK6mplusCLIMATE_Flood","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Tropical.Cyclone","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Drought","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Locust"
"66","GUY",14.9,0,"Hot","Wet",NA,1,2,NA,4.8,0,4.2,0,3.1,14.88,0,13.02,0,"0",0,0,0,0,0,0,0,0
"67","PRY",16.3,0,NA,NA,NA,NA,NA,NA,4.8,0,3.5,0,3.4,16.32,0,11.9,0,"x",0,0,0,0,0,0,0,0
"68","PER",27.5,27.5,NA,NA,NA,NA,NA,NA,6.4,0,4.6,0,4.3,27.52,0,19.78,0,"0",27.52,0,19.78,0,27.52,0,19.78,0
"69","SUR",24.9,0,NA,NA,NA,NA,NA,NA,8.6,0,1.5,0,2.9,24.94,0,4.35,0,"0",0,0,0,0,0,0,0,0
"70","URY",7.8,0,NA,NA,NA,NA,NA,NA,3.9,0,2.5,0,2,7.8,0,5,0,"0",0,0,0,0,0,0,0,0
"71","VEN",20.7,17,NA,NA,NA,NA,NA,NA,5.6,4.6,1.3,0,3.7,20.72,17.02,4.81,0,"0",0,17.02,0,0,0,17.02,0,0
"72","FJI",10.9,10.9,NA,NA,NA,NA,NA,NA,0.1,3.1,2.5,0,3.5,0.35,10.85,8.75,0,"0",0,10.85,0,0,0,10.85,0,0
"73","PNG",25.5,13.3,"Hot","Wet",NA,1,2,NA,5,2.6,2.5,0,5.1,25.5,13.26,12.75,0,"0",0,13.26,0,0,0,13.26,0,0
"74","SLB",16.4,16.4,NA,NA,NA,NA,NA,NA,0.1,4.1,3.3,0,4,0.4,16.4,13.2,0,"0",0,16.4,0,0,0,16.4,0,0
"75","VUT",18.9,18.9,NA,NA,NA,NA,NA,NA,0.1,4.5,1.5,0,4.2,0.42,18.9,6.3,0,"0",0,18.9,0,0,0,18.9,0,0
"76","KIR",15.6,0,NA,NA,NA,NA,NA,NA,0.1,0,3.8,0,4.1,0.41,0,15.58,0,"0",0,0,0,0,0,0,0,0
"77","MHL",13.3,1.6,NA,NA,NA,NA,NA,NA,0.1,0.4,3.4,0,3.9,0.39,1.56,13.26,0,"0",0,1.56,0,0,0,1.56,0,0
"78","FSM",24.8,17.5,NA,NA,NA,NA,NA,NA,0.1,3.8,5.4,0,4.6,0.46,17.48,24.84,0,"0",0,17.48,0,0,0,17.48,0,0
"79","NRU",0.4,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,4.2,0.42,0,0,0,"0",0,0,0,0,0,0,0,0
"80","PLW",11.3,11.3,NA,NA,NA,NA,NA,NA,0.1,4.9,0,0,2.3,0.23,11.27,0,0,"0",0,11.27,0,0,0,11.27,0,0
"81","WSM",14.5,14.5,NA,NA,NA,NA,NA,NA,0.1,4.4,0.5,0,3.3,0.33,14.52,1.65,0,"0",0,14.52,0,0,0,14.52,0,0
"82","TON",28.5,28.5,NA,NA,NA,NA,NA,NA,0.1,6.2,0.5,0,4.6,0.46,28.52,2.3,0,"0",0,28.52,0,0,0,28.52,0,0
"83","TUV",1.9,0.4,NA,NA,NA,NA,NA,NA,0.1,0.1,0.5,0,3.7,0.37,0.37,1.85,0,"0",0,0.37,0,0,0,0.37,0,0
