Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
United Kingdom,GBR,0,1.5,9.175677927253947,3.6939754012924766,2.4923076923076923,0,10,0.5980000000000008,3.84053277174229,10,0,NA,NA,1,0,0,0,NA,1.9449913856756105,0,2.333333333333334,NA,0,0,0,0.7142857142857135,10,NA,3,NA,NA
Georgia,GEO,3.5999999999999996,5,1.1768861591391317,0,3.10923076923077,0,8.917,6.16,5.38763608038849,0,4.92822966507177,NA,NA,5,0,0,10,0,1.8342357863647543,4.009683098591557,5.833333333333333,NA,0,0,0,3.2857142857142847,NA,10,0,NA,4.643434831207951
Ghana,GHA,6.9,6.75,2.9885767268844354,0,5.4799999999999995,0,0.139759999999999,0.009999999999999787,4.922767583196153,0,7.177033492822967,NA,NA,NA,0,5.313776162553781,0,0,6.935146443514645,10,4.500000000000001,0,0,0,0,7.571428571428571,NA,0,7,10,7.371495441402507
Guinea,GIN,7.459999999999999,10,2.593351613989512,7.692307692307692,4.487692307692308,0,0.061799999999999855,0.10800000000000054,3.398109494263756,10,8.827751196172251,NA,NA,5,0,5.416858335751961,0,0,9.205636229387157,5.990316901408443,4.833333333333333,NA,0,0,0,7.857142857142858,NA,NA,7,NA,0
Gambia,GMB,7.16,9.25,5.187779117976387,0,5.7215384615384615,0,0.08748000000000111,0.11800000000000033,0.5163784945122334,0,7.511961722488039,NA,NA,5,10,0,0,10,7.562761506276155,7.090669014084501,3.5,NA,0,0,7,9.571428571428571,NA,NA,7,NA,4.985675054086354
Guinea-Bissau,GNB,10,10,3.2249874968321564,0.5128205128205128,NA,0,0.13935999999999993,0.1460000000000008,NA,0,8.660287081339714,NA,NA,NA,10,0,0,0,NA,NA,2.833333333333333,NA,0,0,0,9.857142857142858,NA,NA,NA,NA,8.831181173339337
Equatorial Guinea,GNQ,10,9.75,0.4069108936137358,0.5128205128205128,NA,0,0.16699999999999982,0.20400000000000063,NA,0,5.406698564593302,NA,NA,5,0,NA,0,0,8.491877922717208,5.770246478873236,3.166666666666668,NA,0,0,0,6.142857142857142,NA,NA,NA,NA,NA
Greece,GRC,3.24,3.25,3.2213205736420925,0,3.2846153846153845,0,4.01036,1.4800000000000004,4.512378440648886,0,0.11961722488038262,NA,NA,3,0,0,0,0,4.178562638444502,7.0906690140845114,8.166666666666668,0,0,0,0,0.8571428571428559,8.50333333333334,NA,3,NA,NA
Grenada,GRD,8.5,4,6.666666666674814e-4,6.666666666674814e-4,NA,0,0,0,NA,0,NA,NA,NA,1,0,NA,0,0,NA,NA,1.1666666666666679,NA,0,0,0,2.7142857142857144,NA,NA,NA,NA,NA
Guatemala,GTM,7.459999999999999,7,1.0768965436125395,3.7606900878174523,4.070769230769232,0,4.033199999999999,6.396,6.072922757180111,0,6.507177033492823,10,10,NA,0,0,0,0,4.07396012798425,6.870598591549294,9.5,0,0,0,0,7.571428571428571,NA,NA,7,3.2134503864106687,6.3854870390485985
