"","Country","M_Fuel_Imports_perc","M_Food_Imports_perc","M_Travel_Tourism_perc","M_Remittance_perc","M_Reserves","M_ODA_perc","M_Gsavings_perc"
"240","TSS",4,4,NA,0,0.8,NA,4.1
"241","TTO",NA,NA,3,0,1.5,NA,NA
"242","TUN",NA,NA,4,0,0.5,NA,5
"243","TUR",3,3,4,0,0.8,0,3.4
"244","TUV",NA,NA,NA,3,NA,NA,NA
"245","TZA",5,3,4,0,0.6,6,3
"246","UGA",5,4,3,0,0.7,8,3.9
"247","UKR",5,3,3,4,0.5,0,4.1
"248","UMC",4,3,NA,0,2.2,NA,2.7
"249","URY",4,4,4,0,1.5,0,4.4
"250","USA",3,3,3,0,0.2,NA,4
"251","UZB",3,3,0,4,2.9,3,3.1
"252","VCT",4,5,5,3,0.7,3,5.6
"253","VEN",NA,NA,3,NA,0.5,NA,NA
"254","VGB",NA,NA,9,NA,NA,NA,NA
"255","VIR",NA,NA,NA,NA,NA,NA,NA
"256","VNM",NA,NA,3,3,0.3,NA,3.4
"257","VUT",NA,NA,7,0,0.9,8,NA
"258","WLD",4,3,NA,0,1.9,NA,3.3
"259","WSM",4,5,NA,4,0.4,8,NA
"260","XKX",NA,NA,NA,4,0.3,NA,3.9
"261","YEM",NA,NA,3,4,NA,NA,NA
"262","ZAF",4,3,3,0,0.8,0,4.2
"263","ZMB",4,3,3,0,0.5,4,2.6
"264","ZWE",5,4,3,3,0.1,4,6.1
