"","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm"
"180","TUN",33.7,10,33.7,0,NA,NA,NA,NA,NA,NA,NA,NA,200,130.882352941177,10,8.72549019607843
"181","TUR",52.4,0,52.4,0,5955,7425,89,1470,25,6027,11221,1.72570850202429,4.25531914893618,23.5401459854015,0.283687943262411,1.56934306569343
"182","TKM",31.8,10,31.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","TUV",21.6,10,21.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","UGA",44.3,10,44.3,0,NA,NA,NA,NA,NA,NA,NA,NA,125,126.315789473684,8.33333333333334,8.42105263157895
"185","UKR",38,10,38,0,2076,4795,109,2719,131,2916,8883,2.23178137651822,44.3965517241379,44.1714947856315,2.95977011494253,2.9447663190421
"186","ARE",46.7,10,46.7,0,361,449,46,88,24,367,688,0.637651821862349,-23.0769230769231,-17.4611015065448,0,0
"187","GBR",77.9,0,77.9,0,46791,49526,733,2735,6,46918,57473,10,-625.54347826087,41.9993137367037,0,2.79995424911358
"188","USA",83.5,0,83.5,0,169478,227675,686,58197,34,205543,258104,10,4.92741485203797,-18.510748311294,0.328494323469199,0
"189","URY",41.3,10,41.3,0,NA,NA,NA,NA,NA,NA,NA,NA,50,-33.3333333333333,3.33333333333333,0
"190","UZB",34.3,10,34.3,0,NA,NA,NA,NA,NA,NA,NA,NA,21.5384615384615,15.0156776216467,1.43589743589744,1.00104517477645
"191","VUT",26.1,10,26.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","VEN",23,10,23,0,NA,NA,NA,NA,NA,NA,NA,NA,81.3559322033898,65.3768844221106,5.42372881355932,4.35845896147404
"193","VNM",49.1,10,49.1,0,NA,NA,NA,NA,NA,NA,NA,NA,240,58.5253456221198,10,3.90168970814132
"194","YEM",18.5,10,18.5,0,NA,NA,NA,NA,NA,NA,NA,NA,-31.3725490196078,-11.4093959731544,0,0
"195","ZMB",28.7,10,28.7,0,NA,NA,NA,NA,NA,NA,NA,NA,69.6428571428571,-8.92857142857143,4.64285714285714,0
"196","ZWE",38.2,10,38.2,0,NA,NA,NA,NA,NA,NA,NA,NA,38.6363636363636,-30.4447501146263,2.57575757575757,0
