Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Micronesia,FSM,7.44,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5.333333333333334,NA,0,0,0,8,NA,NA,NA,NA,NA
Gabon,GAB,10,7.5,0,5.902429975885735,3.2692307692307683,0,0.5468399999999995,0.38599999999999923,5.978816524918553,0,6.60287081339713,NA,NA,1,0,0,0,0,6.215235047994095,3.1734154929577505,2.5,NA,0,0,0,6.142857142857142,NA,NA,7,10,7.2657682649925
United Kingdom,GBR,0,1.5,0,0,1.723076923076924,0,1.55612,0.2400000000000002,3.84053277174229,10,0,NA,NA,1,0,0,0,NA,1.9449913856756105,0,2.333333333333334,NA,0,0,0,0.7142857142857135,10,NA,3,NA,NA
Georgia,GEO,3.5999999999999996,5,0,0.8882407114365307,3.10923076923077,0,8.7852,10,5.38763608038849,0,4.92822966507177,NA,NA,5,0,0,10,0,1.8342357863647543,4.009683098591557,5.833333333333333,NA,0,0,0,3.2857142857142847,NA,10,0,NA,4.643434831207951
Ghana,GHA,6.9,6.75,0,0,5.16,0,0.049120000000000275,0,4.922767583196153,0,7.177033492822967,NA,NA,NA,0,0,0,0,6.935146443514645,10,4.500000000000001,NA,0,0,0,7.571428571428571,NA,0,7,10,7.371495441402507
Guinea,GIN,7.459999999999999,10,0,3.5897435897435894,3.333846153846154,0,0.0639599999999998,0.13000000000000078,3.398109494263756,10,8.827751196172251,NA,NA,5,0,5.755709147614452,0,0,9.205636229387157,5.990316901408443,4.833333333333333,NA,0,0,0,7.857142857142858,NA,NA,7,NA,0
Gambia,GMB,7.16,9.25,1.8806369609062514,10,5.047692307692308,0,0.05200000000000138,0.3539999999999992,0.5163784945122334,0,7.511961722488039,NA,NA,5,10,0,0,10,7.562761506276155,7.090669014084501,3.5,NA,0,0,0,9.571428571428571,NA,NA,7,NA,4.985675054086354
Guinea-Bissau,GNB,10,10,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.029040000000000177,0,NA,0,8.660287081339714,NA,NA,NA,10,NA,0,0,NA,NA,2.833333333333333,NA,0,0,0,9.857142857142858,NA,NA,NA,NA,8.831181173339337
Equatorial Guinea,GNQ,10,9.75,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.1629200000000015,0,NA,0,5.406698564593302,NA,NA,5,0,NA,0,0,8.491877922717208,5.770246478873236,3.166666666666668,NA,0,0,0,6.142857142857142,NA,NA,NA,NA,NA
Greece,GRC,3.24,3.25,0,0,1.1215384615384636,0,6.31896,8.608,4.512378440648886,0,0.11961722488038262,NA,NA,3,0,0,0,0,4.178562638444502,7.0906690140845114,8.166666666666668,NA,0,0,0,0.8571428571428559,8.50333333333334,NA,3,NA,NA
Grenada,GRD,8.5,4,6.666666666674814e-4,6.666666666674814e-4,NA,0,0,0,NA,0,NA,NA,NA,1,0,0,0,0,NA,NA,1.1666666666666679,NA,0,0,0,2.7142857142857144,NA,NA,NA,NA,NA
Guatemala,GTM,7.459999999999999,7,0,0,4.070769230769232,0,1.9421199999999992,1.8819999999999997,6.072922757180111,0,6.507177033492823,10,10,NA,0,0,0,0,4.07396012798425,6.870598591549294,9.5,0,0,0,7,7.571428571428571,NA,NA,0,3.2134503864106687,6.3854870390485985
Guyana,GUY,7.66,4.25,0.3485978623153567,0.8808953854634822,0.8015384615384598,0,6.61832,9.808,0.587505008907792,0,4.665071770334928,NA,NA,NA,0,0,0,0,3.1448437115431958,9.643485915492965,4.666666666666667,NA,0,0,0,6.142857142857142,NA,NA,0,NA,NA
Honduras,HND,8.48,7.250000000000001,0.567332589608311,0,1.3461538461538467,0,3.050799999999999,4.788,6.324727907550919,0,6.148325358851674,10,NA,3,0,2.4207690964611084,10,0,3.840142751661335,2.249119718309867,9.166666666666666,NA,0,0,0,7.714285714285715,5.346666666666667,NA,0,5.325480052403041,4.026146402235993
Croatia,HRV,3.3400000000000007,3.75,0,0,4.086153846153846,0,3.6246,10,5.111687997485276,0,1.2200956937799035,NA,NA,1,0,5,0,0,2.997169579128725,10,6.333333333333333,NA,0,0,0,1.5714285714285712,10,10,0,10,7.4648657449547855
Haiti,HTI,7.699999999999999,10,10,4.345520132592374,5.336923076923076,0,0.22000000000000064,0.40000000000000036,1.7013187538184766,0,10,10,7,5,10,8.413503627757947,0,10,7.2612601525966065,4.889964788732396,10,NA,0,0,0,9.714285714285714,NA,NA,0,NA,10
Hungary,HUN,3.1999999999999993,3.5,0,0,1.5707692307692298,0,1.6272800000000007,8.104,10,0,0.9330143540669855,NA,NA,5,0,0,0,0,3.8278365739601306,1.3688380281690051,4.333333333333334,NA,0,0,0,1.5714285714285712,8.939999999999998,0,0,NA,NA
Indonesia,IDN,2.6799999999999997,6.000000000000001,0.21839096236065458,0,2.027692307692309,0,0.8064400000000003,1.0660000000000007,4.677211459538965,0,5.239234449760765,NA,NA,NA,0,3.303634824744252,0,0,4.024735417179426,5.770246478873236,10,0,0,0,7,4.571428571428572,9.066666666666666,0,0,10,5.5
India,IND,4.699999999999999,6.499999999999999,0,0.29280220617243913,1.081538461538461,0,6.30832,5.706,4.415726992241089,0,7.177033492822967,NA,NA,NA,0,0,0,0,3.803224218557718,2.029049295774649,10,NA,0,0,7,6.571428571428571,NA,7,7,NA,9.2
