"","Index","Countryname","Country","Outlook","Count","Previous Count","Flag Change"
"325",5617,"Maldives","MDV","Overall",1,1,0
"326",5624,"Maldives","MDV","Underlying",0.5,0.5,0
"327",5638,"Maldives","MDV","Emerging",0.5,0.5,0
"328",5669,"Mexico","MEX","Overall",1,1,0
"329",5676,"Mexico","MEX","Underlying",0.5,0.5,0
"330",5690,"Mexico","MEX","Emerging",0.5,0.5,0
"331",5721,"Marshall Islands","MHL","Overall",0,0,0
"332",5728,"Marshall Islands","MHL","Underlying",2.5,2.5,0
"333",5742,"Marshall Islands","MHL","Emerging",0,0,0
"334",5773,"North Macedonia","MKD","Overall",0,0,0
"335",5780,"North Macedonia","MKD","Underlying",0,0,0
"336",5794,"North Macedonia","MKD","Emerging",0,0,0
"337",5825,"Mali","MLI","Overall",4,4,0
"338",5832,"Mali","MLI","Underlying",3,3,0
"339",5846,"Mali","MLI","Emerging",3,3,0
"340",5877,"Malta","MLT","Overall",1,1,0
"341",5884,"Malta","MLT","Underlying",0,0,0
"342",5898,"Malta","MLT","Emerging",1,1,0
"343",5929,"Myanmar","MMR","Overall",3.5,3.5,0
"344",5936,"Myanmar","MMR","Underlying",4,4,0
"345",5950,"Myanmar","MMR","Emerging",3,3,0
"346",5981,"Montenegro","MNE","Overall",0,0,0
"347",5988,"Montenegro","MNE","Underlying",0,0,0
"348",6002,"Montenegro","MNE","Emerging",0,0,0
"349",6033,"Mongolia","MNG","Overall",1,1,0
"350",6040,"Mongolia","MNG","Underlying",0.5,0.5,0
"351",6054,"Mongolia","MNG","Emerging",1.5,1.5,0
"352",6085,"Mozambique","MOZ","Overall",4.5,4.5,0
"353",6092,"Mozambique","MOZ","Underlying",4.5,4.5,0
"354",6106,"Mozambique","MOZ","Emerging",3.5,3.5,0
"355",6137,"Mauritania","MRT","Overall",3,3,0
"356",6144,"Mauritania","MRT","Underlying",2.5,2.5,0
"357",6158,"Mauritania","MRT","Emerging",1,1,0
"358",6189,"Mauritius","MUS","Overall",1,1,0
"359",6196,"Mauritius","MUS","Underlying",0.5,0.5,0
"360",6210,"Mauritius","MUS","Emerging",2,2,0
"361",6241,"Malawi","MWI","Overall",3,3,0
"362",6248,"Malawi","MWI","Underlying",2.5,2.5,0
"363",6262,"Malawi","MWI","Emerging",2,2,0
"364",6293,"Malaysia","MYS","Overall",1,1,0
"365",6300,"Malaysia","MYS","Underlying",0,0,0
"366",6314,"Malaysia","MYS","Emerging",3,2.5,0.5
"367",6345,"Namibia","NAM","Overall",2.5,2.5,0
"368",6352,"Namibia","NAM","Underlying",1.5,1.5,0
"369",6366,"Namibia","NAM","Emerging",2,2,0
"370",6397,"Niger","NER","Overall",4,4,0
"371",6404,"Niger","NER","Underlying",4,4,0
"372",6418,"Niger","NER","Emerging",3,3,0
"373",6449,"Nigeria","NGA","Overall",5,5,0
"374",6456,"Nigeria","NGA","Underlying",3.5,3.5,0
"375",6470,"Nigeria","NGA","Emerging",4.5,4,0.5
"376",6501,"Nicaragua","NIC","Overall",2,2,0
"377",6508,"Nicaragua","NIC","Underlying",1,1,0
"378",6522,"Nicaragua","NIC","Emerging",2,2,0
"379",6553,"Netherlands","NLD","Overall",0,0,0
"380",6560,"Netherlands","NLD","Underlying",0,0,0
"381",6574,"Netherlands","NLD","Emerging",2,1.5,0.5
"382",6605,"Norway","NOR","Overall",0,0,0
"383",6612,"Norway","NOR","Underlying",0,0,0
"384",6626,"Norway","NOR","Emerging",0,0,0
"385",6657,"Nepal","NPL","Overall",1.5,1.5,0
"386",6664,"Nepal","NPL","Underlying",2,2,0
"387",6678,"Nepal","NPL","Emerging",0.5,0.5,0
"388",6709,"Nauru","NRU","Overall",0,0,0
"389",6716,"Nauru","NRU","Underlying",0.5,0.5,0
"390",6730,"Nauru","NRU","Emerging",0,0,0
"391",6761,"New Zealand","NZL","Overall",0,0,0
"392",6768,"New Zealand","NZL","Underlying",0,0,0
"393",6782,"New Zealand","NZL","Emerging",0,0,0
"394",6813,"Oman","OMN","Overall",1.5,1.5,0
"395",6820,"Oman","OMN","Underlying",0,0,0
"396",6834,"Oman","OMN","Emerging",2,2,0
"397",6865,"Pakistan","PAK","Overall",4,4,0
"398",6872,"Pakistan","PAK","Underlying",2.5,2.5,0
"399",6886,"Pakistan","PAK","Emerging",1.5,1.5,0
"400",6917,"Panama","PAN","Overall",1.5,1.5,0
"401",6924,"Panama","PAN","Underlying",0.5,0.5,0
"402",6938,"Panama","PAN","Emerging",1.5,1.5,0
"403",6969,"Peru","PER","Overall",1.5,1.5,0
"404",6976,"Peru","PER","Underlying",1,1,0
"405",6990,"Peru","PER","Emerging",4,4,0
"406",7021,"Philippines","PHL","Overall",1.5,2.5,-1
"407",7028,"Philippines","PHL","Underlying",1.5,1.5,0
"408",7042,"Philippines","PHL","Emerging",1,2,-1
"409",7073,"Palau","PLW","Overall",0,0,0
"410",7080,"Palau","PLW","Underlying",0.5,0.5,0
"411",7094,"Palau","PLW","Emerging",0,0,0
"412",7125,"Papua New Guinea","PNG","Overall",3.5,3.5,0
"413",7132,"Papua New Guinea","PNG","Underlying",3.5,3.5,0
"414",7146,"Papua New Guinea","PNG","Emerging",1.5,1.5,0
"415",7177,"Poland","POL","Overall",0.5,0.5,0
"416",7184,"Poland","POL","Underlying",0,0,0
"417",7198,"Poland","POL","Emerging",1.5,1.5,0
"418",7229,"Korea DPR","PRK","Overall",1,1,0
"419",7236,"Korea DPR","PRK","Underlying",2.5,2.5,0
"420",7250,"Korea DPR","PRK","Emerging",1,1,0
"421",7281,"Portugal","PRT","Overall",0.5,0.5,0
"422",7288,"Portugal","PRT","Underlying",0,0,0
"423",7302,"Portugal","PRT","Emerging",2.5,2,0.5
"424",7333,"Paraguay","PRY","Overall",1.5,1.5,0
"425",7340,"Paraguay","PRY","Underlying",0,0,0
"426",7354,"Paraguay","PRY","Emerging",1.5,1.5,0
"427",7385,"Qatar","QAT","Overall",0.5,0.5,0
"428",7392,"Qatar","QAT","Underlying",0,0,0
"429",7406,"Qatar","QAT","Emerging",1.5,1.5,0
"430",7437,"Romania","ROU","Overall",0.5,0.5,0
"431",7444,"Romania","ROU","Underlying",0,0,0
"432",7458,"Romania","ROU","Emerging",0.5,0.5,0
"433",7489,"Russian Federation","RUS","Overall",1.5,1,0.5
"434",7496,"Russian Federation","RUS","Underlying",0.5,0.5,0
"435",7510,"Russian Federation","RUS","Emerging",1,1,0
"436",7541,"Rwanda","RWA","Overall",2,2,0
"437",7548,"Rwanda","RWA","Underlying",1.5,1.5,0
"438",7562,"Rwanda","RWA","Emerging",1.5,1.5,0
"439",7593,"Saudi Arabia","SAU","Overall",0.5,0.5,0
"440",7600,"Saudi Arabia","SAU","Underlying",0,0,0
"441",7614,"Saudi Arabia","SAU","Emerging",1.5,1.5,0
"442",7645,"Sudan","SDN","Overall",4.5,4.5,0
"443",7652,"Sudan","SDN","Underlying",4,4,0
"444",7666,"Sudan","SDN","Emerging",2.5,2.5,0
"445",7697,"Senegal","SEN","Overall",2,2,0
"446",7704,"Senegal","SEN","Underlying",1.5,1.5,0
"447",7718,"Senegal","SEN","Emerging",3.5,3.5,0
"448",7749,"Singapore","SGP","Overall",0,0,0
"449",7756,"Singapore","SGP","Underlying",0,0,0
"450",7770,"Singapore","SGP","Emerging",1,1,0
"451",7801,"Solomon Islands","SLB","Overall",2,2,0
"452",7808,"Solomon Islands","SLB","Underlying",3,3,0
"453",7822,"Solomon Islands","SLB","Emerging",1,1,0
"454",7853,"Sierra Leone","SLE","Overall",3,3.5,-0.5
"455",7860,"Sierra Leone","SLE","Underlying",2.5,2.5,0
"456",7874,"Sierra Leone","SLE","Emerging",2,3,-1
"457",7905,"El Salvador","SLV","Overall",2,2,0
"458",7912,"El Salvador","SLV","Underlying",0.5,0.5,0
"459",7926,"El Salvador","SLV","Emerging",2,2,0
"460",7957,"Somalia","SOM","Overall",5,5,0
"461",7964,"Somalia","SOM","Underlying",4,4,0
"462",7978,"Somalia","SOM","Emerging",4.5,4.5,0
"463",8009,"Serbia","SRB","Overall",0.5,0.5,0
"464",8016,"Serbia","SRB","Underlying",0,0,0
"465",8030,"Serbia","SRB","Emerging",2,2,0
"466",8061,"South Sudan","SSD","Overall",4,4,0
