"","Countryname","Country","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK","RELIABILITY_UNDERLYING_HEALTH","RELIABILITY_UNDERLYING_FOOD_SECURITY","RELIABILITY_UNDERLYING_MACRO_FISCAL","RELIABILITY_UNDERLYING_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_UNDERLYING_NATURAL_HAZARDS","RELIABILITY_UNDERLYING_FRAGILITY_INSTITUTIONS","RELIABILITY_EMERGING_HEALTH","RELIABILITY_EMERGING_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_EMERGING_MACRO_FISCAL","RELIABILITY_EMERGING_NATURAL_HAZARDS","RELIABILITY_EMERGING_FRAGILITY_INSTITUTIONS"
"168","Tajikistan","TJK",0,0.3,0,0,0,0,0,0,0,1.5,0.666666666666667,0,0,0
"169","Turkmenistan","TKM",0,0.6,0,0,0,0,0,0,0.833333333333333,1.5,1.33333333333333,0,0.333333333333333,0.333333333333333
"170","Timor-Leste","TLS",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0.333333333333333
"171","Tonga","TON",0,0.7,0,0,0.25,0,0,0,0.833333333333333,1.5,1.33333333333333,0.25,0.333333333333333,0.333333333333333
"172","Trinidad and Tobago","TTO",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0
"173","Tunisia","TUN",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"174","Turkey","TUR",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"175","Tuvalu","TUV",0.2,0.8,0,1,0.25,0,0,0,1,1.5,1.66666666666667,0.25,0.333333333333333,0.666666666666667
"176","Tanzania","TZA",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"177","Uganda","UGA",0,0.2,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.333333333333333,0
"178","Ukraine","UKR",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"179","Uruguay","URY",0,0.4,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0.333333333333333,0
"180","United States of America","USA",0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
"181","Uzbekistan","UZB",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"182","Saint Vincent and the Grenadines","VCT",0,0.4,0,0,0.25,0,0,0,0.333333333333333,1,1.66666666666667,0.25,0,0.333333333333333
"183","Venezuela","VEN",0,0.3,0,0,0,0,0,0,0,1,1.33333333333333,0,0.333333333333333,0
"184","Viet Nam","VNM",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0.333333333333333
"185","Vanuatu","VUT",0,0.6,0,0,0.25,0,0,0,0,1.5,1.33333333333333,0.25,0.333333333333333,0.666666666666667
"186","Samoa","WSM",0,0.6,0,0,0.25,0,0,0,0.666666666666667,1,1.66666666666667,0.25,0.333333333333333,0.666666666666667
"187","Yemen","YEM",0,0.1,0,0,0,0,0,0,0,0.5,1.66666666666667,0,0,0
"188","South Africa","ZAF",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"189","Zambia","ZMB",0,0.2,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.333333333333333,0
"190","Zimbabwe","ZWE",0,0.2,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0.333333333333333,0
