Country,Countryname,Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Macro Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Underlying_Number of Underlying Vulnerability Flags,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
HUN,Hungary,10,5,8.94,1.36883802816901,0,0,1.5,3.5,0.933014354066986,3.82783657396013,1.57142857142857,4.33333333333333,0,0,5.916079783099616,2.159877721153429,2.289036537072487,3.748142397051027,0,0,0.5,0,0.3
KAZ,Kazakhstan,5.58149673421125,NA,10,9.29137323943663,0,0,1.5,5.86,1.26794258373206,6.98437115431947,1.42857142857143,5,0,0,5.719053318730113,NA,8.055706004909629,3.779644730092274,0,0,1.5,0,0.4
MYS,Malaysia,6.64544,NA,7.49912892932354,2.16109154929577,7,10,2,3,2.3444976076555,0,2.57142857142857,6.5,0,0,4.465010638285198,NA,0,4.391295297482178,6.745368781616021,0,0.5,0,0.4
NIC,Nicaragua,10,3,10,3.4375,0,0,2,6.5,6.79425837320574,6.38136844696038,7.14285714285714,9.33333333333333,0,1,8.06225774829855,4.514728687265406,4.683583461029205,8.451542547285165,0,0,2,0,0.3
OMN,Oman,10,3,7,2.46919014084507,7,0,2,5.38,3.22966507177033,3.33558946591189,2.71428571428571,6.66666666666667,0,0,7.334848328356899,3.1127150873973335,2.869878851647977,4.35889894354067,6.831300510639734,0,1.5,0,0.3
PLW,Palau,0,NA,NA,NA,0,0,0,9.62,NA,NA,4,3.66666666666667,0,0.5,0,NA,NA,NA,0,0,0,0.2,0.8
POL,Poland,9.01379038103079,3,10,0.444542253521117,0,0,1.5,2.92,0.789473684210526,2.06190007383707,0.857142857142856,2.16666666666667,0,0,5.130328246088149,1.5389675281277309,0.9573931822187207,2.927700218845598,0,0,0.5,0,0.3
LCA,Saint Lucia,10,1,8.65963300069173,NA,0,0,1.5,6.94,NA,NA,4.57142857142857,2.66666666666667,0,0,8.330666239863412,1,NA,6.291811640334435,0,0,1.5,0.2,0.4
SLB,Solomon Islands,9.63076923076923,NA,7.23936998276483,NA,0,0,1,9.86,9.13875598086125,NA,8.28571428571428,8,10,3,9.744710596799917,NA,NA,7.7448919479722695,0,0,2,0,0.6
ARE,United Arab Emirates,10,5,7,0,0,0,1.5,4.66,1.07655502392344,3.04024120108294,0.428571428571429,5.33333333333333,0,0,6.826419266350405,2.320080843336542,0,1.732050807568878,0,0,0.5,0,0.3
AZE,Azerbaijan,4.12723454199712,3,5.64333333333334,9.73151408450705,7,10,2,7.16,4.23444976076555,7.46431208466651,3.85714285714286,6.5,0,1,5.4360830862579155,3.5641758209011867,8.52285504881365,4.665527071740437,6.745368781616021,0,2,0,0.3
BHR,Bahrain,10,5,3,8.8512323943662,0,0,1.5,6.12,0.526315789473683,5.62453851833621,1.71428571428572,0,0,0,7.8230428862431785,1.6222142113076234,7.055784686118046,2.267786838055367,0,0,2,0,0.3
BGD,Bangladesh,7.58733491472576,NA,10,9.07130281690141,0,10,3,8,8.03827751196172,3.5632537533842,6.85714285714286,10,0,2,7.790935715163236,NA,5.68536312036519,8.280786712108252,0,0,2.5,0,0.4
BTN,Bhutan,1.20153846153846,5,7.0231235193543,10,0,0,1.5,5.94,6.98564593301436,2.68336204774797,7.42857142857143,4.16666666666667,0,0.5,2.6715423375904885,5.910010969962052,5.180117805366949,7.223003164557204,0,0,2,0,0.3
BDI,Burundi,9.66307692307692,5,9.31379674220999,3.70158450704226,0,4.76011412923833,1,10,9.92822966507177,10,10,4.33333333333333,10,4.5,9.830095077402314,7.045647473820901,6.0840648476510015,9.650801387558438,0,6.899358034801738,4,0,0.3
KHM,Cambodia,3.6210950621431,NA,0,10,0,0,1,7.25,9.33014354066986,4.70157519074576,8.28571428571428,8,0,2,5.123762211552901,NA,6.856803330084479,0,0,0,1,0,0.4
CHN,China,10,NA,7.35360215466743,0,0,9.61002795263715,2,4.36,2.91866028708134,2.89256706866847,3.71428571428571,10,0,1,6.603029607687671,NA,0,5.226220377253704,0,0,1,0,0.4
COM,Comoros,0.0262799999999999,NA,5.29306413637899,NA,0,0,0,10,8.22966507177034,NA,8.57142857142857,2.83333333333333,10,3,0.5126402247190509,NA,NA,6.735660410751329,0,0,0.5,0,0.5
COG,Congo,5.09538461538462,NA,10,9.86355633802818,0,10,2.5,9.28,10,7.58122077282796,7.71428571428572,4.83333333333333,10,3.5,6.876421251695483,NA,8.647415695097473,8.783100656536801,0,10,3.5,0,0.4
FRA,France,9.59094359400321,3,10,2.90933098591549,0,0,1.5,2.5,0,0,0.571428571428571,4,0,0,4.896668151407447,0,0,2.3904572186687862,0,0,0,0,0.3
GAB,Gabon,5.97881652491855,1,10,3.17341549295775,0,0,1,10,6.60287081339713,6.21523504799409,6.14285714285714,2.5,0,1,7.732280727520535,2.569605186287794,4.441117336175487,7.8376381281972565,0,0,2,0,0.3
GMB,Gambia,9.87776260025919,5,7,7.0906690140845,7,10,3,9.25,7.51196172248804,7.56276150627616,9.57142857142857,3.5,10,3,9.558729206981308,6.128605764155514,7.322911898518471,8.185352771872449,4.949747468305833,10,4.5,0,0.3
DEU,Germany,4.38930967419285,3,3.78,0,0,0,0,0.799999999999999,0,0,0.571428571428571,2.5,0,0,1.873885732736731,0,0,1.4696938456699062,0,0,0,0,0.3
KIR,Kiribati,8.47692307692308,NA,NA,NA,7,0,1,10,5.76555023923445,NA,9.71428571428571,4.66666666666667,10,2.5,9.20702073252965,NA,NA,NA,5.715476066494084,0,1.5,0,0.7
PRK,Korea DPR,0,NA,NA,6.43045774647888,0,10,1,6.75,8.63636363636364,10,9,7,0,2.5,0,NA,8.01901349698258,NA,0,0,1,0,0.6
KWT,Kuwait,10,NA,0,6.8705985915493,0,0,1,4.78,0.645933014354066,0,2.57142857142857,1,0,0,6.913754406977442,NA,0,0,0,0,0.5,0,0.4
LUX,Luxembourg,7.54226094358271,3,5.3,10,0,0,1.5,5.24,0,0,0.857142857142856,0,0,0,6.28660857254318,0,0,2.1313979316066574,0,0,0.5,0,0.3
MDG,Madagascar,2.13076923076923,10,9.37847931044442,6.78257042253521,10,6.90561966501688,2.5,10,10,7.94425301501354,8.42857142857143,8.5,0,3.5,4.6160255965161525,10,7.3404669830172935,8.890848258713008,9.219544457292887,0,4,0,0.1
MLT,Malta,10,NA,3,0,0,0,1,6.54,0,1.00356879153335,0.714285714285714,2.5,0,0,8.087026647662292,NA,0,1.4638501094227994,0,0,1,0,0.4
MEX,Mexico,6.817695312319,5,7,4.66989436619718,0,1.31554331620892,0.5,4.25,3.22966507177033,2.48646320452868,4.57142857142857,9.5,0,0.5,5.382862164068086,4.018497898326146,3.407568122662417,5.65685424949238,0,0,1,0,0.3
FSM,Micronesia,0,NA,NA,NA,7,NA,0.5,NA,NA,NA,8,5.33333333333333,10,1.5,0,NA,NA,NA,6.110100926607785,NA,0.5,0.3,0.8
