"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"48","Dominican Republic","DOM",NA,NA,NA,NA,-3.088,-2.16,-2.2,-4.4,-2.9,-2.2,4.4,4,7.22021660649819,7.5,5.30625,39.4444444444444,25,10.2501433817328,1,0,1,1.03728793668039,4.39337588439994,NA,NA
"49","Algeria","DZA",NA,NA,NA,NA,-6.647,-4.468,-5.1,-15,-10.1,-9.9,10,0.3,9.89169675090253,5,-2.2,14.2857142857143,70,0,1,6,1,2.38062884282083,1.58208661840571,NA,NA
"50","Ecuador","ECU",NA,NA,NA,NA,-4.461,-3.132,-2.8,-7,-4.4,-4.2,8.4,NA,NA,2.5,1.10703149504603,0,0,0.87639993357811,1,0,0,-1.83422348015578,10,NA,NA
"51","Egypt","EGY",NA,NA,NA,NA,-10.429,-9.41,-7.4,-7.7,-6.6,-0.3,0.6,1.8,8.8086642599278,2.5,1.8,23.5294117647059,0,2.214,1,0,1,-0.298323118450524,7.18848843227928,NA,NA
"52","Eritrea","ERI","…","…","…",NA,-6.037,4.212,-1.5,-5,-4.5,-3.5,7,NA,NA,7.5,0,0,0,0,0,0,0,-3.78606096285808,10,1.5,10
"53","Spain","ESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7.5812274368231,1.25,10.4093374152635,0,0,25.8029184549356,1,0,0,-0.401081805802419,7.40353763789756,NA,NA
"54","Estonia","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.05415162454874,5,13.9093374152635,0,100,15.1038359121986,1,0,0,1.39552566231319,3.6436705280439,NA,NA
"55","Ethiopia","ETH","High","High","Apr-20",10,-3.243,-3.029,-2.5,-3,-3.4,-0.5,1,0.15,10,10,3.54305442818595,0,0,1.44,0,0,0,-3.55150348228496,10,3.5,7.14285714285714
"56","Finland","FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.94223826714801,2.5,20.1103788627058,0,100,35.1362962962963,1,0,0,2.4829137562591,1.36802890758358,NA,NA
"57","Fiji","FJI",NA,NA,NA,NA,-1.829,-5.515,-4.9,-10.6,-4.6,-5.7,10,NA,NA,2.5,10.73058,50,0,3.66401158580739,0,0.0362056480811007,1,-1.07805624673404,8.82028224118037,NA,NA
"58","France","FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.77617328519856,5,14.897552903479,0,100,28.64,1,0,0,1.96861250322119,2.44433767294897,NA,NA
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.49819494584838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.52380952380952
"60","Gabon","GAB",NA,NA,NA,NA,-1.699,-0.211,1.9,-2.7,-1.3,-4.6,9.2,0.74,9.57400722021661,1.25,1.94,11.9047619047619,0,2.22222222222222,1,0,0,-1.48611185489617,9.67424443790291,NA,NA
"61","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.09747292418773,0,8.5,86.6666666666667,100,31.4668367346939,1,0,0,3.6042145234566,0,NA,NA
"62","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.09747292418773,NA,8.5,86.6666666666667,100,31.4668367346939,1,0,0,3.6042145234566,0,NA,NA
