"","Country","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_CONFLICT","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_CONFLICT","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM"
"105","LTU",0,2.27272727272727,1.54700515668386,0.900562851782363,NA,9.79166666666667,0,8.82978723404255,10,NA,NA,10,0,7.03703703703704,0,1,0.5,1.5
"106","LUX",2.06666666666667,0,NA,0,NA,0.625,0,10,6.7870036101083,NA,NA,7.74358974358974,0,7.03703703703704,1,0,2,1
"107","LVA",0,0.933014354066986,1.4676715589052,3.00187617260788,NA,8.54166666666667,0,7.94326241134752,3.66013071895425,NA,NA,10,0,7.03703703703704,0,1,0.5,1.5
"108","MAR",2.1,3.49282296650718,4.260214200714,6.39774859287054,NA,3.95833333333333,4.09579080781802,6.06060606060606,10,0.0444444444444443,NA,6.57414750198255,4.09579080781802,7.40740740740741,0,0,0.5,0.5
"109","MCO",5.76666666666667,NA,NA,NA,NA,NA,NA,NA,9.09090909090909,NA,NA,NA,NA,0,0,0,0,0
"110","MDA",2.36666666666667,4.5933014354067,3.31614438714796,4.46529080675422,3,4.79166666666667,0,NA,8.23104693140794,0,2.8698224852071,7.20856463124504,0,0.733661170152484,0,0,0.5,0.5
"111","MDG",3.3,10,2.64974216580722,8.03001876172608,7,5.625,5.02968447735308,6.73400673400673,0.121212121212121,0,2.0414201183432,6.09833465503569,5.02968447735308,6.66666666666667,1,0,1,0
"112","MDV",5.4,2.91866028708134,NA,4.05253283302064,10,3.95833333333333,0.026682676272431,6.9023569023569,10,NA,4.28994082840237,10,0.026682676272431,10,1,2,1,2
"113","MEX",0,3.22966507177033,8.46489488298294,2.4953095684803,NA,3.125,5.85684744179841,6.06060606060606,10,0,NA,8.00158604282316,5.85684744179841,10,0,1,0.5,1.5
"114","MHL",10,NA,NA,10,NA,8.54166666666667,0.213461410179441,NA,0,NA,1.44970414201184,1.84615384615384,0.213461410179441,0.29231806576613,2,0,2,0
"115","MKD",3.63333333333333,3.61244019138756,3.17334391114637,1.98874296435272,NA,3.125,0,NA,0,0,NA,8.25641025641026,0,1.90986977709393,0,0,0.5,0.5
"116","MLI",7,8.22966507177034,9.3375644585482,10,7,6.875,6.60396237742646,6.56565656565656,0.707070707070706,2.04225352112676,2.92899408284024,3.24345757335448,6.60396237742646,7.86258954513056,1,0,1.5,0.5
"117","MLT",4.23333333333333,0,NA,5.32833020637899,NA,1.45833333333333,0,9.18439716312057,10,NA,NA,7.74358974358974,0,4.81481481481481,0,0,0.5,0.5
"118","MMR",2.2,7.08133971291866,6.8226894089647,4.8780487804878,3,0.625,7.00420252151291,8.41750841750842,5.55555555555556,0,1.21301775147929,4.53846153846154,7.00420252151291,4.59158685094372,0,0,0.5,0.5
"119","MNE",2.1,1.17224880382775,3.22094406981357,9.30581613508443,NA,6.45833333333333,0,5.99290780141844,1.58730158730159,0,NA,10,0,0.866782736057663,0,1,0,1
"120","MNG",0.166666666666668,7.20095693779904,2.05474018246728,6.47279549718574,NA,6.875,0,6.52482269503546,0,0,4.40828402366864,6.33333333333333,0,9.25925925925926,0,0,0.5,0.5
"121","MOZ",7.3,10,4.49028163427212,8.87429643527205,10,5.20833333333333,10,4.20875420875421,6.66666666666667,0,5,0,10,2.27227777952758,3,1,3,1
"122","MRT",7.5,8.13397129186603,6.34668782229274,0,10,6.875,10,6.3973063973064,0,0,3.69822485207101,9.746233148295,10,5.92592592592593,2,1,2.5,1.5
"123","MUS",5.03333333333333,1.79425837320574,0.230067433558114,5.77861163227017,NA,7.29166666666667,1.40084050430258,8.65248226950355,6.66666666666667,NA,NA,10,1.40084050430258,7.40740740740741,0,1,0.5,1.5
"124","MWI",7.33333333333333,10,1.95160650535502,7.6360225140713,10,7.70833333333333,7.32439463678207,5.55555555555556,0,0,0.44378698224852,3,10,10,2,2,2,2
"125","MYS",0,2.3444976076555,0,2.21388367729831,NA,6.45833333333333,2.73497431792409,5.63829787234043,0,0,NA,8.3187946074544,2.73497431792409,10,0,1,0.5,1.5
"126","NAM",4.8,9.28229665071771,2.84807616025387,3.86491557223264,NA,1.875,6.24374624774865,4.57446808510638,10,10,NA,2.45043616177637,6.24374624774865,6.2962962962963,0,1,0,1
"127","NER",5.93333333333333,10,6.83062276874256,0,7,6.45833333333333,9.52571542925756,6.56565656565656,0,0,0.857988165680474,4.98810467882633,9.52571542925756,5.95038682639996,1,0,1.5,0.5
"128","NGA",4.06666666666667,8.49282296650718,10,6.90431519699812,NA,4.79166666666667,6.72403442065239,4.88215488215488,0,0,1.33136094674556,5.69230769230769,6.72403442065239,10,1,1,1,1
"129","NIC",2.3,6.79425837320574,6.18008726695756,8.08630393996248,7,6.45833333333333,2.58821959842572,6.56565656565656,0,0,2.8698224852071,1.2051282051282,2.58821959842572,4.81481481481481,0,0,0,0
"130","NIU",9.83333333333333,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0
"131","NLD",0,0,0,2.32645403377111,NA,1.04166666666667,0,10,10,NA,NA,10,0,8.14814814814815,1,1,1.5,1.5
