"","Countryname","Country","C_GPI_Score","C_GPI_Score_norm","C_ACLED_fatal_last30d","C_ACLED_fatal_oneyear30d","C_ACLED_fatal_oneyearmonthlyav","C_ACLED_fatal_threeyearmonthlyav","C_ACLED_fatal_same_month_difference","C_ACLED_fatal_month_annual_difference","C_ACLED_fatal_month_threeyear_difference","C_ACLED_fatal_same_month_difference_perc","C_ACLED_fatal_month_annual_difference_perc","C_ACLED_fatal_month_threeyear_difference_perc","C_ACLED_event_last30d","C_ACLED_event_oneyear30d","C_ACLED_event_oneyearmonthlyav","C_ACLED_event_threeyearmonthlyav","C_ACLED_event_same_month_difference","C_ACLED_event_month_annual_difference","C_ACLED_event_month_threeyear_difference","C_ACLED_event_same_month_difference_perc","C_ACLED_event_month_annual_difference_perc","C_ACLED_event_month_threeyear_difference_perc","C_ACLED_fatal_same_month_difference_perc_norm","C_ACLED_fatal_month_annual_difference_perc_norm","C_ACLED_fatal_month_threeyear_difference_perc_norm","C_ACLED_event_same_month_difference_perc_norm","C_ACLED_event_month_annual_difference_perc_norm","C_ACLED_event_month_threeyear_difference_perc_norm"
"144","Romania","ROU",1.606,0.579135263784213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Russian Federation","RUS",3.093,10,5,2,2.66666666666667,0.944444444444444,3,2.33333333333333,4.05555555555556,150,87.5,429.411764705882,88,185,146.916666666667,54.5833333333333,-97,-58.9166666666667,33.4166666666667,-52.4324324324324,-40.1020986954056,61.2213740458015,10,10,10,1.9027027027027,2.39591605218378,6.44885496183206
"146","Rwanda","RWA",2.014,3.81594605315351,0,1,4.91666666666667,1.66666666666667,-1,-4.91666666666667,-1.66666666666667,-100,-100,-100,0,1,2.33333333333333,0.805555555555556,-1,-2.33333333333333,-0.805555555555556,-100,-100,-100,0,0,0,0,0,0
"147","Saudi Arabia","SAU",2.409,6.94962316541055,0,92,11.25,6.30555555555556,-92,-11.25,-6.30555555555556,-100,-100,-100,0,30,8.5,3.80555555555556,-30,-8.5,-3.80555555555556,-100,-100,-100,0,0,0,0,0,0
"148","Sudan","SDN",2.995,10,167,49,74.75,26.5,118,92.25,140.5,240.816326530612,123.411371237458,530.188679245283,47,150,87.1666666666667,34.0833333333333,-103,-40.1666666666667,12.9166666666667,-68.6666666666667,-46.0803059273423,37.8973105134474,10,10,10,1.25333333333333,2.15678776290631,5.5158924205379
"149","Senegal","SEN",1.883,2.77667592225307,1,0,0.416666666666667,0.138888888888889,1,0.583333333333333,0.861111111111111,Inf,140,620,2,2,6.33333333333333,2.16666666666667,0,-4.33333333333333,-0.166666666666667,0,-68.4210526315789,-7.69230769230769,10,10,10,0,0,0
"150","Singapore","SGP",1.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Solomon Islands","SLB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",1.822,2.29274097580325,0,0,2.08333333333333,0.694444444444444,0,-2.08333333333333,-0.694444444444444,NA,-100,-100,0,9,5.08333333333333,1.91666666666667,-9,-5.08333333333333,-1.91666666666667,-100,-100,-100,NA,0,0,0,0,0
"153","El Salvador","SLV",2.262,5.78341927806426,11,59,32.1666666666667,12.4722222222222,-48,-21.1666666666667,-1.47222222222222,-81.3559322033898,-65.8031088082902,-11.804008908686,21,71,45,17.2222222222222,-50,-24,3.77777777777778,-70.4225352112676,-53.3333333333333,21.9354838709677,1.24293785310734,2.27979274611399,0,0,0,0
"154","Somalia","SOM",3.3,10,73,345,277.083333333333,103.388888888889,-272,-204.083333333333,-30.3888888888889,-78.8405797101449,-73.6541353383459,-29.3927995701236,61,205,196.083333333333,71.6666666666667,-144,-135.083333333333,-10.6666666666667,-70.2439024390244,-68.8907777305567,-14.8837209302326,1.41062801932367,1.75639097744361,0,1.19024390243902,1.24436889077773,3.4046511627907
"155","Serbia","SRB",1.812,2.21340737802459,0,0,0,0,0,0,0,NA,NA,NA,12,20,41.1666666666667,14.3888888888889,-8,-29.1666666666667,-2.38888888888889,-40,-70.8502024291498,-16.6023166023166,NA,NA,NA,0,0,0
"156","South Sudan","SSD",3.526,10,76,134,172.25,62.25,-58,-96.25,13.75,-43.2835820895522,-55.878084179971,22.0883534136546,23,38,58.75,20.9722222222222,-15,-35.75,2.02777777777778,-39.4736842105263,-60.8510638297872,9.66887417218543,3.78109452736318,2.9414610546686,2.20883534136546,0,0,0
