"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","Additional_Deaths_/_1M","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm"
"95","Lao PDR","LAO",43.1,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"96","Lebanon","LBN",43.1,5.38,0,0.6,NA,NA,0.5,0.6,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0247961391247,99.9251865212757,2.60165307594164,6.66167910141838,85.479,0.712,10,3.56
"97","Liberia","LBR",35.1,6.98,0.9,0.2,NA,NA,0.5,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,-5.98887202832574,0,0,0.508,0,0.101600000000001,0
"98","Libya","LBY",25.7,8.86,0,0.2,NA,NA,0.8,0.5,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8300570703868,40.4741126093851,2.25533713802579,2.69827417395901,58.983,1.06,10,5.3
"99","Saint Lucia","LCA",35.3,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"100","Liechtenstein","LIE",43.5,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,22.475,0,4.495,0
"101","Sri Lanka","LKA",33.9,7.22,0.9,0.7,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.32,0,0.0640000000000001,0
"102","Lesotho","LSO",30.2,7.96,0.4,0.2,NA,NA,1,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.9073208722741,-47.3682232453256,0,0,2.401,0.067,0.4802,0.334999999999999
"103","Lithuania","LTU",55,3,0.7,0.9,NA,NA,0.5,0.6,0.7,10,86,112,40,26,"9",31,93,151,0.383867832847425,400,49.6766100548918,10,3.31177400365945,12.857,0.105,2.5714,0.525
"104","Luxembourg","LUX",43.8,5.24,0,0.8,NA,NA,0,0.4,0.3,0,124,154,251,30,"49",24,134,191,5.51020408163265,-83.3315948680505,-209.408838728459,0,0,-256.514,0,0,0
"105","Latvia","LVA",62.9,1.42,0.9,0.9,NA,NA,0.5,0.6,0.7,10,34,44,23,10,"5",31,36,62,0,0.01,0.01,0.000666666666667481,0.000666666666667481,3.181,0.076,0.636199999999999,0.380000000000001
"106","Morocco","MAR",43.7,5.26,0,0.7,NA,NA,1,0.7,0.6,7.5,1078,3387,93,2309,"63",214,1881,6224,1.67152575315841,64.1214228403316,11.5506714975004,4.27476152268878,0.770044766500025,35.778,0.851,7.1556,4.255
"107","Moldova Republic of","MDA",42.9,5.42,NA,NA,NA,NA,NA,NA,NA,NA,990,1384,342,394,"97",40,1143,1844,7.72108843537415,-8.57186767587506,35.1795371269876,0,2.34530247513251,117.998,1.948,10,9.74
"108","Madagascar","MDG",40.1,5.98,0,0.5,NA,NA,1,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.5927758535379,-55.8067546733475,0,0,2.652,0.062,0.5304,0.31
"109","Maldives","MDV",33.8,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,16.1011591148578,1.33333333333333,1.07341060765718,242.614,0.529,10,2.645
"110","Mexico","MEX",57.6,2.48,0,0.3,NA,NA,0.8,0.6,0.4,2.5,63819,88757,696,24938,"195",39,76802,109708,10,-17.8683340726008,-11.3541209375053,0,0,39.329,3.95,7.8658,10
"111","Marshall Islands","MHL",18.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","North Macedonia","MKD",39.1,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.8936170212766,-29.4953763750632,0,0,48.616,1.92,9.7232,9.6
"113","Mali","MLI",29,8.2,0.9,0.6,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,117.780859916782,0,7.85205732778548,0.409,0.007,0.0817999999999994,0.0350000000000001
"114","Malta","MLT",37.3,6.54,NA,NA,NA,NA,NA,NA,NA,NA,10,14,29,4,"9",43,12,19,0.11661807580175,0.01,0.01,0.000666666666667481,0.000666666666667481,87.357,0,10,0
"115","Myanmar","MMR",43.4,5.32,1,0.8,NA,NA,0.8,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.801,0,0.1602,0
"116","Montenegro","MNE",43.7,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2289110058943,-2.83152849998505,0,0,94.622,2.047,10,10
"117","Mongolia","MNG",49.5,4.1,1,0.4,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.131,0,0.0261999999999993,0
"118","Mozambique","MOZ",28.1,8.38,0.1,0.6,NA,NA,0.5,0.4,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.3333333333333,6.26762016090215,0,0.417841344060143,2.084,0.009,0.4168,0.0449999999999999
"119","Mauritania","MRT",27.5,8.5,0.4,0.6,NA,NA,1,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,3.902,0,0.7804,0
"120","Mauritius","MUS",34.9,7.02,1,0.5,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"121","Malawi","MWI",28,8.4,0,0.6,NA,NA,0.8,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.8106747230614,-44.8286058731206,0,0,1.538,0.06,0.307599999999999,0.300000000000001
"122","Malaysia","MYS",62.2,1.56,0.8,0.9,NA,NA,0.8,0.7,0.8,10,125,138,4,13,"0",10,128,151,0,0.01,0.01,0.000666666666667481,0.000666666666667481,0.265,0,0.052999999999999,0
"123","Namibia","NAM",35.6,6.88,0,0.6,NA,NA,0.2,0.5,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1547581242722,72.6338452038944,3.61031720828482,4.8422563469263,88.719,1.293,10,6.465
"124","Niger","NER",32.2,7.56,0.9,0.2,NA,NA,1,0.7,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.018,0,0.00360000000000049,0
"125","Nigeria","NGA",37.8,6.44,0,0.6,NA,NA,1,0.4,0.5,5,1011,1235,6,224,"1",22,1053,1706,0,-56.2647754137116,-8.23408786181876,0,0,1.263,0.01,0.252599999999999,0.0500000000000007
"126","Nicaragua","NIC",43.1,5.38,0.3,0.1,NA,NA,0.5,0.6,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,-14.4455078358655,0,0,3.946,0.086,0.789199999999999,0.43
"127","Netherlands","NLD",75.6,0,0,0.7,NA,NA,0.8,0.4,0.5,5,6252,6569,380,317,"18",5,6275,7787,8.64431486880467,126.154992548435,-9.7723013655845,8.41033283656234,0,29.422,0.2,5.8844,1
