"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"144","Romania","ROU",59,63.5,66.3636363636364,-4.5,-7.36363636363637,4,2.16109154929577,4.46160472557224
"145","Russian Federation","RUS",67,67,70.6818181818182,0,-3.68181818181819,5.04918032786885,5.7262323943662,5.04614816637952
"146","Rwanda","RWA",74,74,75.1363636363636,0,-1.13636363636364,5.9672131147541,8.19102112676056,5.64915087373862
"147","Saudi Arabia","SAU",41.5,49,49.1818181818182,-7.5,-7.68181818181818,1.70491803278689,1.85299295774648,2.1357371400443
"148","Sudan","SDN",113.5,122.5,119.727272727273,-9,-6.22727272727272,10,3.26144366197184,10
"149","Senegal","SEN",50.5,50.5,52.4090909090909,0,-1.90909090909091,2.88524590163934,7.44278169014085,2.57260644843712
"150","Singapore","SGP",10,10,14.3181818181818,0,-4.31818181818182,0,5.11003521126761,0
"151","Solomon Islands","SLB",NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",85,85,90,0,-5,7.40983606557377,4.44982394366197,7.6612109278858
"153","El Salvador","SLV",48.5,48.5,53.2727272727273,0,-4.77272727272727,2.62295081967213,4.66989436619719,2.68951513659857
"154","Somalia","SOM",109.5,109.5,109.272727272727,0,0.22727272727272,10,9.51144366197183,10
"155","Serbia","SRB",68,68,72.7727272727273,0,-4.77272727272728,5.18032786885246,4.66989436619718,5.32919025350726
"156","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA
"157","Sao Tome and Principe","STP",76,76,81.2727272727273,0,-5.27272727272728,6.22950819672131,4.18573943661971,6.47981786857002
"158","Suriname","SUR",96.5,96.5,103.772727272727,0,-7.27272727272727,8.91803278688525,2.24911971830987,9.52559684961851
"159","Slovakia","SVK",40.5,48,46.4090909090909,-7.5,-5.90909090909091,1.57377049180328,3.56954225352113,1.76039872015752
"160","Slovenia","SVN",33.5,33.5,47.1363636363636,0,-13.6363636363636,0.655737704918032,0,1.85884814176717
"161","Sweden","SWE",28,26,30.4545454545455,2,-2.45454545454545,0,6.91461267605634,0
"162","Eswatini","SWZ",73,72,78.8181818181818,1,-5.81818181818183,5.83606557377049,3.6575704225352,6.14755107063746
"163","Seychelles","SYC",65,60,66.3636363636364,5,-1.36363636363636,4.78688524590164,7.97095070422536,4.46160472557224
"164","Syria","SYR",143.5,143.5,142.363636363636,0,1.13636363636363,10,10,10
"165","Chad","TCD",77,74.5,79.0454545454545,2.5,-2.04545454545455,6.36065573770492,7.31073943661972,6.17831651489048
"166","Togo","TGO",68,73,75.0454545454545,-5,-7.04545454545455,5.18032786885246,2.46919014084507,5.63684469603741
"167","Thailand","THA",43.5,43.5,50.0909090909091,0,-6.59090909090909,1.9672131147541,2.90933098591549,2.25879891705636
"168","Tajikistan","TJK",113.5,113.5,116.909090909091,0,-3.40909090909091,10,5.99031690140846,10
"169","Turkmenistan","TKM",121,117,128.090909090909,4,-7.09090909090909,10,2.42517605633803,10
"170","Timor-Leste","TLS",44,44,47.8636363636364,0,-3.86363636363636,2.0327868852459,5.55017605633804,1.95729756337682
"171","Tonga","TON",NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",56,58.5,62.1363636363636,-2.5,-6.13636363636364,3.60655737704918,3.34947183098591,3.88936746246616
"173","Tunisia","TUN",81,81,83.0454545454545,0,-2.04545454545455,6.88524590163935,7.31073943661972,6.71978833374354
"174","Turkey","TUR",73,73,72.2727272727273,0,0.72727272727272,5.83606557377049,9.99559859154929,5.26150627615063
"175","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,NA
