Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
HND,8.48,6.324727907550919,0.5377578608199691,1.630444791091179,4.010840000000001,4.674,1.1538461538461533,7.250000000000001,0,0,27.6,0.616253930379691,8.06636791229955,24.45667186636768,100.271,2.337,72.5,4.9,0,0
HRV,3.3400000000000007,5.111687997485276,0,0,0.6639599999999994,1.1839999999999993,4.727692307692307,3.75,0,0,53.3,0.535041170648603,-61.40451522751136,-50.6904132724053,16.599,0.592,49.27,3.5,0,0
HTI,7.699999999999999,1.7013187538184766,3.8285298595330772,0,0.6414799999999996,1.1519999999999992,3.653846153846154,10,0,0,31.5,0.30671768707483,57.42794789299616,-7.3221281412886325,16.037,0.576,56.25,6.6,0,0
HUN,3.1999999999999993,10,0,0,0.2318800000000003,0.8279999999999994,3.653846153846154,3.5,0,0,54,1,-70.22044841559531,-57.97943193177375,5.797,0.414,56.25,3.4,0,0
IDN,2.6799999999999997,4.677211459538965,6.046912973430544,8.170601376489351,2.890360000000001,2.854,2.027692307692309,6.000000000000001,0,0,56.6,0.505953060362834,90.70369460145817,122.55902064734028,72.259,1.427,66.82,4.4,0,0
IND,4.699999999999999,4.415726992241089,0,0,1.3836000000000013,1.6140000000000008,1.081538461538461,6.499999999999999,0,0,46.5,0.488446731807721,-59.41401150703476,-43.297870374986815,34.59,0.807,72.97,4.6,0,0
IRL,2.1999999999999993,4.168035739136462,6.666666666674814e-4,6.666666666674814e-4,2.8190800000000005,0.5779999999999994,1.6830769230769231,2.5,0,0,59,0.471863855960883,0.01,0.01,70.477,0.289,69.06,3,0,0
IRN,6.459999999999999,5.506086224956361,0,0.9724025190903092,5.13464,3.096,2.5553846153846145,4.25,0,0,37.7,0.561446046712609,-10.961765507220047,14.586037786354645,128.366,1.548,63.39,3.7,0,0
IRQ,8.84,5.770612810382412,1.1390164561806344,1.7021184065637947,5.6686000000000005,1.5700000000000003,3.213846153846154,7,0,0,25.8,0.579156044418726,17.085246842709534,25.531776098456927,141.715,0.785,59.11,4.8,0,0
ISL,4.740000000000001,0,6.666666666674814e-4,6.666666666674814e-4,0,0,3.653846153846154,1.5,0,0,46.3,0.0892703386434036,0.01,0.01,0,0,56.25,2.6,0,0
ISR,4.540000000000001,10,0,10,NA,NA,4.295384615384616,1.75,0,0,47.3,0.934261202300882,-91.68841803572343,836.8858830590805,NA,NA,52.08,2.7,0,0
ITA,2.759999999999999,9.463058528145696,0,0,0.4573199999999993,1.0399999999999991,0.12769230769230688,3,0,0,56.2,0.826364486950981,-51.84569409324431,-54.32735278466284,11.433,0.52,79.17,3.2,0,0
JAM,8.2,5.014736990300707,0,0,0.6657599999999988,2.702,1.161538461538461,5.249999999999999,0,0,29,0.528550321677491,-6.432473404950473,-11.256487817564627,16.644,1.351,72.45,4.1,0,0
JOR,5.58,10,0,0,1.8940800000000007,1.6799999999999997,4.647692307692308,5.75,0,0,42.1,1,-2.0242914979757205,-6.458290715886228,47.352,0.84,49.79,4.3,0,0
JPN,2.040000000000001,4.951995548884098,0,0,0.4733200000000011,0.5380000000000003,3.5892307692307686,0.75,0,0,59.8,0.524349795738758,-51.062436186403126,-24.585788914702235,11.833,0.269,56.67,2.3,0,0
KAZ,5.859999999999999,5.581496734211254,0,1.861691211581224,3.58012,0.22799999999999976,2.6123076923076916,2.75,0,0,40.7,0.566494764004182,-41.54222612623917,27.92536817371836,89.503,0.114,63.02,3.1,0,0
KEN,4.58,6.432996330919787,0,2.621572639011429,0.39607999999999954,0.7279999999999998,2.1476923076923073,9,10,0,47.1,0.623502477917623,-6.365855021703901,39.32358958517143,9.902,0.364,66.04,5.6,10,0
