Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert
SWZ,7.78,4.76190476190474,0,0,1.54164,5.172,2.64923076923077,8.25,0
SYC,7.62,7.14285714285711,10,10,10,8.716,1.29846153846154,5,0
SYR,10,2.38095238095237,0,0,0.104800000000001,0.359999999999999,7.73538461538462,6.75,0
TCD,8.24,9.52380952380948,0,0,0.0591600000000003,0.103999999999999,5.89692307692308,10,10
TGO,7.5,9.52380952380948,0,0,0.274719999999999,0.0340000000000007,5.38461538461538,9.75,10
THA,0,10,0,0,0.0681200000000004,0.0120000000000005,5.47076923076923,4.5,0
TJK,7.54,2.38095238095237,6.66666666667481e-4,6.66666666667481e-4,0,0,9.48769230769231,5.75,0
TKM,7.64,0,NA,NA,NA,NA,6.15384615384615,3.25,0
TLS,8.8,9.52380952380948,NA,NA,0.0129999999999999,0,5.89692307692308,8.75,0
TON,8.98,NA,NA,NA,NA,NA,7.09384615384615,5,0
TTO,6.68,10,4.1025641025641,0,0.13884,0.407999999999999,3.67538461538462,4.5,0
TUN,7.26,9.52380952380948,0,0,2.67712,6.164,2.88923076923077,4.25,0
TUR,3.52,0,0,0.607212243115619,3.53492,2.148,2.75230769230769,4.75,0
TUV,9.68,NA,NA,NA,NA,NA,NA,7.75,0
TZA,6.72,0,6.66666666667481e-4,6.66666666667481e-4,0,0,10,9,0
UGA,5.14,9.52380952380948,0,0,0.0264799999999994,0.0180000000000007,6.06769230769231,10,10
UKR,6.4,0,0,0,3.98788,5.624,3.93230769230769,5,0
URY,5.74,7.14285714285711,0,0,5.7542,2.796,2.47846153846154,3,0
USA,0,NA,0,0,8.69268,10,2.10307692307692,1.25,0
UZB,7.14,2.38095238095237,0.512820512820513,0,0.0418400000000005,0,7.18,5.25,0
VCT,7.4,NA,10,0,4.73844,0,NA,5.25,0
VEN,9.4,4.76190476190474,0,0,0.593400000000001,0.432,1.45230769230769,6,0
VNM,4.18,NA,6.66666666667481e-4,6.66666666667481e-4,0.0121599999999997,0,1.88,4.5,0
VUT,8.78,9.52380952380948,NA,NA,0,0,8.88923076923077,8.25,0
WSM,8.72,NA,NA,NA,0.0288000000000004,0,NA,3.25,0
YEM,10,4.76190476190474,10,10,0.00384000000000029,0.0199999999999996,8.63230769230769,10,0
ZAF,3.04,7.14285714285711,0,0,1.33596,6.388,2.52923076923077,6.75,0
ZMB,8.26,0,0,0,1.82428,1.196,7.35076923076923,10,0
ZWE,6.36,4.76190476190474,0,0,0.261039999999999,1.076,1.58923076923077,8.25,0
